H2O [ml],HClO4 [ml],NH2NH2.HCl [ml],Ce(NO3)3 &Na2MoO4 [ml],crystals
3.583,3.658,5.913,1.846,0
0.176,4.382,3.653,6.789,0
4.65,2.382,2.621,5.347,0
2.349,3.924,4.441,4.286,0
2.244,9.303,1.983,1.47,0
4.231,3.209,3.359,4.201,0
8.178,3.487,3.214,0.122,0
3.647,4.739,0.777,5.837,1
5.329,5.701,2.344,1.626,0
0.759,2.737,4.715,6.789,0
0.719,3.515,0.055,10.712,0
1.31,9.384,0.374,3.931,0
3.185,4.714,5.327,1.775,0
2.835,5.308,1.447,5.41,1
1.339,5.337,5.759,2.565,0
5.356,6.081,3.173,0.39,0
4.898,3.161,6.03,0.911,0
1.19,8.411,4.788,0.611,0
4.995,2.403,3.356,4.246,0
5.697,4.196,4.097,1.01,0
4.606,7.952,2.176,0.266,0
2.428,0.658,4.681,7.233,0
3.27,3.855,4.561,3.314,0
0.102,8.134,4.711,2.052,0
0.548,1.646,9.445,3.361,0
7.78,4.837,1.766,0.617,0
6.193,4.182,3.479,1.147,0
1.318,2.87,3.942,6.87,0
0.579,0.037,7.406,6.978,0
4.498,4.52,2.819,3.163,0
4.552,2.08,4.473,3.895,0
0.589,4.792,4.997,4.623,0
5.16,4.667,0.467,4.707,1
6.399,2.708,4.726,1.166,0
4.771,4.561,2.262,3.407,0
4.375,2.299,1.618,6.707,0
0.015,1.113,5.87,8.003,0
0.605,3.659,7.957,2.779,0
2.098,6.769,2.706,3.427,0
2.961,3.152,3.163,5.724,0
5.205,2.542,3.553,3.7,0
3.973,3.615,4.196,3.216,0
3.853,2.361,4.528,4.258,0
3.461,2.005,4.828,4.706,0
0.971,4.509,4.576,4.944,0
4.401,5.659,1.969,2.971,0
7.891,0.233,2.74,4.135,0
2.405,7.94,1.46,3.196,0
4.862,3.969,5.38,0.789,0
3.647,4.739,0.777,5.837,1
3.471,4.7,0.609,5.625,1
3.634,4.678,0.767,5.862,1
3.678,4.554,0.903,5.865,1
3.677,4.597,0.909,5.817,1
3.708,4.413,1.034,5.845,1
3.707,4.455,1.04,5.797,1
3.738,4.271,1.166,5.825,1
3.739,4.228,1.16,5.873,1
3.632,4.714,0.528,6.071,1
3.572,4.832,0.746,5.779,1
3.673,4.674,0.606,6.041,1
3.603,4.662,0.938,5.614,1
3.84,4.536,0.601,5.686,1
3.932,4.62,0.789,5.659,1
4.212,4.541,0.456,5.791,1
3.871,4.709,0.948,5.858,1
3.761,4.612,0.855,6.013,1
3.572,4.687,0.691,6.05,1
3.627,4.488,0.757,6.128,1
3.686,4.73,0.781,5.984,1
3.657,4.609,0.769,6.056,1
3.671,4.67,0.775,6.02,1
3.741,4.928,1.002,5.739,1
3.676,4.678,0.804,5.755,1
3.703,4.911,0.932,5.804,1
3.614,4.854,1.101,5.431,1
2.978,5.406,1.595,5.473,1
2.908,5.512,1.309,5.517,1
2.804,5.49,1.177,5.53,1
2.776,5.374,1.337,5.513,1
5.064,4.838,0.244,4.693,1
4.963,4.54,0.679,4.522,1
5.021,4.859,0.47,4.65,1
4.964,4.603,0.914,4.52,1
5.005,4.37,1.145,4.48,1
4.943,4.672,0.622,4.541,1
4.919,4.712,0.853,4.516,1
4.97,4.6,0.726,4.537,1
4.945,4.656,0.789,4.527,1
