H2O [ml],HClO4 [ml],NH2NH2.HCl [ml],Ce(NO3)3 &Na2MoO4 [ml],crystals
3.583,3.658,5.913,1.846,0
0.176,4.382,3.653,6.789,0
4.65,2.382,2.621,5.347,0
2.349,3.924,4.441,4.286,0
2.244,9.303,1.983,1.47,0
4.231,3.209,3.359,4.201,0
8.177,3.487,3.214,0.122,0
3.647,4.739,0.777,5.837,1
5.329,5.701,2.344,1.626,0
0.759,2.737,4.715,6.789,0
0.719,3.515,0.055,10.711,0
1.31,9.385,0.374,3.931,0
3.185,4.714,5.327,1.775,0
2.835,5.308,1.447,5.41,1
1.339,5.337,5.759,2.565,0
5.356,6.081,3.173,0.39,0
4.898,3.161,6.03,0.911,0
1.19,8.411,4.788,0.611,0
4.995,2.403,3.356,4.246,0
5.697,4.196,4.097,1.01,0
4.606,7.952,2.176,0.266,0
2.428,0.658,4.681,7.233,0
3.27,3.855,4.561,3.314,0
0.102,8.135,4.711,2.052,0
0.548,1.646,9.445,3.361,0
7.78,4.837,1.766,0.617,0
6.193,4.182,3.479,1.147,0
1.318,2.87,3.942,6.87,0
0.579,0.037,7.406,6.978,0
4.498,4.52,2.819,3.163,0
4.552,2.08,4.473,3.895,0
0.589,4.792,4.997,4.623,0
5.16,4.667,0.467,4.707,1
6.399,2.708,4.726,1.166,0
4.771,4.561,2.262,3.407,0
4.375,2.299,1.618,6.707,0
0.015,1.113,5.87,8.002,0
0.605,3.659,7.957,2.779,0
2.098,6.769,2.706,3.427,0
2.961,3.152,3.163,5.724,0
5.205,2.542,3.553,3.7,0
3.973,3.615,4.196,3.216,0
3.853,2.361,4.528,4.258,0
3.461,2.005,4.828,4.706,0
0.971,4.509,4.576,4.944,0
4.401,5.659,1.969,2.971,0
7.892,0.233,2.74,4.135,0
2.405,7.939,1.46,3.196,0
4.862,3.969,5.38,0.789,0
3.647,4.739,0.777,5.837,1
3.614,4.894,0.634,5.857,1
3.648,4.696,0.77,5.885,1
3.678,4.554,0.903,5.865,1
3.677,4.597,0.909,5.817,1
3.708,4.413,1.034,5.845,1
3.707,4.455,1.04,5.797,1
3.738,4.271,1.166,5.825,1
3.739,4.228,1.16,5.873,1
3.645,4.731,0.53,6.093,1
3.589,4.855,0.75,5.806,1
3.674,4.676,0.606,6.043,1
3.647,4.72,0.95,5.683,1
3.928,4.64,0.615,5.817,1
3.932,4.62,0.789,5.659,1
4.212,4.541,0.456,5.791,1
3.774,4.591,0.924,5.711,1
3.702,4.539,0.841,5.918,1
3.572,4.687,0.691,6.05,1
3.627,4.488,0.757,6.128,1
3.642,4.674,0.772,5.913,1
3.635,4.581,0.764,6.019,1
3.638,4.628,0.768,5.966,1
3.641,4.797,0.975,5.586,1
3.697,4.705,0.809,5.789,1
3.619,4.799,0.911,5.672,1
3.614,4.854,1.101,5.431,1
2.891,5.248,1.548,5.313,1
2.861,5.423,1.288,5.428,1
2.804,5.49,1.177,5.53,1
2.776,5.374,1.337,5.513,1
5.119,4.89,0.247,4.744,1
5.063,4.631,0.693,4.613,1
5.021,4.859,0.47,4.65,1
4.964,4.603,0.914,4.52,1
5.005,4.37,1.145,4.48,1
5.017,4.742,0.631,4.609,1
4.919,4.712,0.853,4.516,1
5.026,4.652,0.734,4.588,1
4.973,4.682,0.793,4.552,1
2.32,4.5,2.18,6,0
2.5,4.5,2,6,0
2.66,4.5,1.84,6,0
3.3,4.5,1.2,6,1
3.7,4.5,0.8,6,1
4.02,4.5,0.48,6,0
4.16,4.5,0.34,6,0
4.185,4.5,0.315,6,0
4.2,4.5,0.3,6,0
4.23,4.5,0.27,6,0
2.9,4.5,1.6,6,1
3,4.5,1.5,6,1
3.089,4.5,1.411,6,1
3.168,4.5,1.332,6,1
3.237,4.5,1.263,6,1
3.75,4.5,0.75,6,1
3.833,4.5,0.667,6,1
3.9,4.5,0.6,6,1
3.955,4.5,0.545,6,1
4,4.5,0.5,6,1
2.709,4.5,1.791,6,1
2.761,4.5,1.739,6,1
2.81,4.5,1.69,6,1
2.856,4.5,1.644,6,1
4.006,4.5,0.494,6,0
4.011,4.5,0.489,6,0
4.018,4.5,0.482,6,0
4,4.2,0.8,6,0
2.8,5.4,0.8,6,0
2.2,6,0.8,6,0
3.7,4.5,0.8,6,1
3.625,4.575,0.8,6,0
3.55,4.65,0.8,6,0
3.475,4.725,0.8,6,1
3.4,4.8,0.8,6,1
3.325,4.875,0.8,6,1
3.25,4.95,0.8,6,1
3.175,5.025,0.8,6,1
3.1,5.1,0.8,6,1
3.025,5.175,0.8,6,1
3.925,4.275,0.8,6,0
3.85,4.35,0.8,6,0
3.775,4.425,0.8,6,0
2.95,5.25,0.8,6,0
2.875,5.325,0.8,6,1
2.725,5.475,0.8,6,1
2.65,5.55,0.8,6,1
2.575,5.625,0.8,6,1
2.5,5.7,0.8,6,1
2.425,5.775,0.8,6,1
2.35,5.85,0.8,6,1
2.275,5.925,0.8,6,1
2.05,6.15,0.8,6,1
1.9,6.3,0.8,6,1
1.75,6.45,0.8,6,1
1.6,6.6,0.8,6,1
1.45,6.75,0.8,6,1
4.15,4.05,0.8,6,0
4.3,3.9,0.8,6,0
4.45,3.75,0.8,6,0
1,7.2,0.8,6,0
0.7,7.5,0.8,6,0
0.1,8.1,0.8,6,0
5.2,4.5,0.8,4.5,1
4.6,4.5,0.8,5.1,1
3.1,4.5,0.8,6.6,0
2.2,4.5,0.8,7.5,0
1.6,4.5,0.8,8.1,0
0.7,4.5,0.8,9,0
6.7,4.5,0.8,3,0
1.3,6.9,0.8,6,0
1.15,7.05,0.8,6,1
5.5,4.5,0.8,4.2,1
5.8,4.5,0.8,3.9,0
6.1,4.5,0.8,3.6,0
6.4,4.5,0.8,3.3,0
3.4,4.5,0.8,6.3,0
4,4.5,0.8,5.7,0
4.3,4.5,0.8,5.4,0
4.9,4.5,0.8,4.8,0
4.9,4.5,0.8,4.8,1
3.62,4.58,0.8,6,0
3.55,4.65,0.8,6,0
2.95,5.25,0.8,6,0
2.8,5.4,0.8,6,1
2.2,6,0.8,6,1
2.12,6.08,0.8,6,1
1.38,6.82,0.8,6,0
1.3,6.9,0.8,6,0
1.22,6.98,0.8,6,0
4.3,4.5,0.8,5.4,1
4,4.5,0.8,5.7,1
3.409,4.5,1.091,6,0
3.5,4.5,1,6,0
3.577,4.5,0.923,6,0
3.643,4.5,0.857,6,0
3.794,4.5,0.706,6,0
3.869,4.5,0.631,6,0
3.929,4.5,0.571,6,0
3.978,4.5,0.522,6,0
