H2O [ml],HClO4 [ml],NH2NH2.HCl [ml],Ce(NO3)3 &Na2MoO4 [ml],crystals
3.583,3.658,5.913,1.846,0
0.176,4.382,3.653,6.789,0
4.65,2.382,2.621,5.347,0
2.349,3.924,4.441,4.286,0
2.244,9.303,1.983,1.47,0
4.231,3.209,3.359,4.201,0
8.177,3.487,3.214,0.122,0
3.647,4.739,0.777,5.837,1
5.329,5.701,2.344,1.626,0
0.759,2.737,4.715,6.789,0
0.719,3.515,0.055,10.711,0
1.31,9.385,0.374,3.931,0
3.185,4.714,5.327,1.775,0
2.835,5.308,1.447,5.41,1
1.339,5.337,5.759,2.565,0
5.356,6.081,3.173,0.39,0
4.898,3.161,6.03,0.911,0
1.19,8.411,4.788,0.611,0
4.995,2.403,3.356,4.246,0
5.697,4.196,4.097,1.01,0
4.606,7.952,2.176,0.266,0
2.428,0.658,4.681,7.233,0
3.27,3.855,4.561,3.314,0
0.102,8.135,4.711,2.052,0
0.548,1.646,9.445,3.361,0
7.78,4.837,1.766,0.617,0
6.193,4.182,3.479,1.147,0
1.318,2.87,3.942,6.87,0
0.579,0.037,7.406,6.978,0
4.498,4.52,2.819,3.163,0
4.552,2.08,4.473,3.895,0
0.589,4.792,4.997,4.623,0
5.16,4.667,0.467,4.707,1
6.399,2.708,4.726,1.166,0
4.771,4.561,2.262,3.407,0
4.375,2.299,1.618,6.707,0
0.015,1.113,5.87,8.002,0
0.605,3.659,7.957,2.779,0
2.098,6.769,2.706,3.427,0
2.961,3.152,3.163,5.724,0
5.205,2.542,3.553,3.7,0
3.973,3.615,4.196,3.216,0
3.853,2.361,4.528,4.258,0
3.461,2.005,4.828,4.706,0
0.971,4.509,4.576,4.944,0
4.401,5.659,1.969,2.971,0
7.892,0.233,2.74,4.135,0
2.405,7.939,1.46,3.196,0
4.862,3.969,5.38,0.789,0
3.647,4.739,0.777,5.837,1
3.614,4.894,0.634,5.857,1
3.648,4.696,0.77,5.885,1
3.678,4.554,0.903,5.865,1
3.677,4.597,0.909,5.817,1
3.708,4.413,1.034,5.845,1
3.707,4.455,1.04,5.797,1
3.738,4.271,1.166,5.825,1
3.739,4.228,1.16,5.873,1
3.645,4.731,0.53,6.093,1
3.589,4.855,0.75,5.806,1
3.674,4.676,0.606,6.043,1
3.647,4.72,0.95,5.683,1
3.928,4.64,0.615,5.817,1
3.932,4.62,0.789,5.659,1
4.212,4.541,0.456,5.791,1
3.774,4.591,0.924,5.711,1
3.702,4.539,0.841,5.918,1
3.572,4.687,0.691,6.05,1
3.627,4.488,0.757,6.128,1
3.642,4.674,0.772,5.913,1
3.635,4.581,0.764,6.019,1
3.638,4.628,0.768,5.966,1
3.641,4.797,0.975,5.586,1
3.697,4.705,0.809,5.789,1
3.619,4.799,0.911,5.672,1
3.614,4.854,1.101,5.431,1
2.891,5.248,1.548,5.313,1
2.861,5.423,1.288,5.428,1
2.804,5.49,1.177,5.53,1
2.776,5.374,1.337,5.513,1
5.119,4.89,0.247,4.744,1
5.063,4.631,0.693,4.613,1
5.021,4.859,0.47,4.65,1
4.964,4.603,0.914,4.52,1
5.005,4.37,1.145,4.48,1
5.017,4.742,0.631,4.609,1
4.919,4.712,0.853,4.516,1
5.026,4.652,0.734,4.588,1
4.973,4.682,0.793,4.552,1
4.345,7.504,0.001,3.15
2.855,1.797,3.624,6.724
2.917,3.962,3.082,5.038
1.723,7.398,0.231,5.649
4.762,6.375,1.602,2.261
4.329,5.234,1.694,3.743
6.937,7.081,0.673,0.309
1.625,8.404,0.941,4.03
5.751,3.201,4.154,1.894
4.498,5.468,0.12,4.915
5.285,3.998,1.499,4.218
0.883,3.832,7.773,2.512
3.868,1.748,0.26,9.124
3.106,3.897,7.214,0.783
4.285,1.095,4.398,5.222
0.945,3.822,6.41,3.823
0.425,4.556,5.643,4.377
5.509,3.421,5.269,0.802
1.384,8.022,3.951,1.643
5.055,1.895,4.092,3.957
5.083,3.589,4.321,2.008
1.582,5.252,2.51,5.656
4.236,3.969,0.733,6.062
4.033,5.184,3.658,2.125
6.462,4.103,0.021,4.414
2.337,3.77,6.337,2.556
5.501,3.775,0.096,5.628
5.188,7.489,1.294,1.03
5.708,4.265,0.404,4.624
4.5,5.51,4.248,0.742
0.93,1.226,1.324,11.519
4.618,2.893,2.968,4.521
0.951,2.138,4.486,7.425
5.216,0.173,7.444,2.166
4.315,2.074,4.617,3.994
9.547,2.342,1.028,2.083
0.613,1.478,3.104,9.805
5.21,0.117,0.67,9.003
4.821,1.725,2.141,6.312
1.13,3.362,5.61,4.898
1.648,3.394,4.261,5.697
3.214,0.381,1.435,9.97
3.666,3.439,1.919,5.977
3.854,2.527,3.663,4.955
7.324,2.899,0.726,4.05
5.693,1.9,6.805,0.602
2.057,6.36,1.529,5.054
4.425,7.799,2.22,0.556
3.294,3.461,4.068,4.177
0.115,1.938,5.1,7.847
4.652,2.725,4.482,3.141
2.882,3.591,4.466,4.061
4.337,4.302,1.849,4.511
2.773,2.014,2.153,8.06
0.178,7.849,6.848,0.124
1.824,3.438,1.356,8.381
1.883,5.136,3.18,4.801
4.597,4.927,2.503,2.973
5.511,1.972,3.383,4.134
0.126,4.812,3.516,6.546
2.4,6.799,4.4,1.401
6.307,4.899,0.431,3.363
3.956,5.351,0.002,5.69
2.029,5.247,3.258,4.466
4.154,4.54,2.064,4.242
3.675,4.205,3.7,3.42
5.616,2.096,4.358,2.929
3.791,4.076,3.984,3.149
3.45,2.387,5.402,3.76
1.686,3.624,2.916,6.774
4.859,4.99,3.659,1.492
1.553,5.262,3.248,4.937
3.309,4.237,2.999,4.455
5.903,4.833,3.556,0.708
3.495,0.736,9.089,1.68
4.135,4.457,3.507,2.901
2.015,5.845,4.322,2.818
3.255,1.715,5.033,4.997
3.637,1.568,2.729,7.066
5.366,1.533,1.827,6.273
4.559,6.761,2.562,1.118
4.378,4.049,1.296,5.277
3.897,4.685,1.035,5.383
2.15,5.029,7.604,0.216
1.886,5.074,4.91,3.13
3.717,4.074,3.545,3.664
0.718,4.734,5.113,4.435
5.134,0.222,4.946,4.698
2.607,2.58,6.347,3.466
3.962,2.219,3.893,4.926
2.388,1.137,7.168,4.307
4.64,3.03,4.731,2.599
7.565,1.946,5.112,0.377
1.846,8.584,0.35,4.22
5.313,4.268,4.257,1.162
2.99,3.935,6.696,1.38
2.164,2.29,6.553,3.992
0.542,4.84,2.017,7.601
2.531,0.235,5.051,7.183
2.618,5.153,3.512,3.717
